0,chicken (87),egg (28),hen (20),bird (16),junglefowl (14)
1,chicken (93),meat (25),breast (16),piece (13),food (11)
2,chicken (4),gallus (1),domesticus (1),type (1),domesticated (1)
3,rooster (4),male (1),chicken (1),may (1),also (1)
4,egg (6),faberg (3),cockerel (1),also (1),called (1)
5,junglefowl (55),red (34),male (22),chicken (16),g (13)
6,southeast (155),asia (152),region (97),indonesia (62),country (51)
7,animal (7),specie (7),wild (5),domesticated (4),may (4)
8,egg (291),may (39),chicken (36),white (36),consumption (34)
9,pet (137),animal (63),dog (56),owner (24),cat (24)
10,broiler (38),chicken (13),meat (13),bird (10),age (9)
11,chicken (78),hen (50),poultry (45),egg (38),bird (37)
12,rooster (80),cock (41),chicken (30),cockfight (18),religious (15)
13,animal (74),livestock (32),pig (22),may (22),production (20)
14,capon (27),meat (7),chicken (6),caponisation (6),also (6)
15,animal (28),neutering (25),female (25),dog (18),study (18)
16,bird (297),specie (131),many (56),may (45),feather (43)
17,shakespeare (172),play (57),work (25),first (25),theatre (25)
18,macbeth (215),play (107),king (69),shakespeare (64),witch (48)
19,macbeth (44),macduff (32),duff (16),scotland (14),king (13)
20,island (33),chicken (10),mi (10),hen (8),new (7)
